瘤痢,斥档,力厚,力厚,力厚,力厚,力厚,力厚,力厚,力厚,轨,轨,轨,轨,轨,轨,轨,轨,俺备府,俺备府,俺备府,俺备府,俺备府,俺备府,俺备府,俺备府,唱厚,唱厚,唱厚,唱厚,唱厚,唱厚,唱厚,唱厚,辆崔货,辆崔货,辆崔货,辆崔货,辆崔货,辆崔货,辆崔货,辆崔货,概拳,概拳,概拳,概拳,概拳,概拳,俺唱府,俺唱府,俺唱府,俺唱府,俺唱府,俺唱府,柳崔贰,柳崔贰,柳崔贰,柳崔贰,柳崔贰,柳崔贰,孩唱公,孩唱公,孩唱公,孩唱公,孩唱公,孩唱公,汗件酒,汗件酒,汗件酒,汗件酒,汗件酒,汗件酒,硅唱公,硅唱公,硅唱公,硅唱公,硅唱公,硅唱公
焙魂,2013,包螟 救凳,—,包螟 救凳,—, , , , ,包螟 救凳,—, , , , , , ,2013-05-01,15老, , , , , , ,2013-04-09,0老, , , , , , , , , , ,包螟 救凳,—, , ,2013-03-07,-5老,2013-03-31,1老, , ,2013-03-13,-7老,2013-03-28,-1老, , ,2013-03-19,-3老,2013-04-03,0老, , ,2013-03-25,-1老,2013-04-12,1老, , ,2013-04-01,0老,2013-04-18,0老, , ,2013-04-04,0老,2013-04-24,3老, , 
焙魂,2014,包螟 救凳,—,包螟 救凳,—, , , , ,包螟 救凳,—, , , , , , ,2014-04-17,1老, , , , , , ,2014-03-26,-14老, , , , , , , , , , ,包螟 救凳,—, , ,2014-02-28,-12老,2014-03-21,-9老, , ,2014-03-18,-2老,2014-03-24,-5老, , ,2014-03-21,-1老,2014-03-26,-8老, , ,2014-03-25,-1老,2014-04-01,-10老, , ,2014-03-28,-4老,2014-04-07,-11老, , ,2014-04-01,-3老,2014-04-14,-7老, , 
焙魂,2015, , ,包螟 吝瘤,—, , , , ,包螟 吝瘤,—,包螟 吝瘤,—,包螟 吝瘤,—,包螟 吝瘤,—, , , , , , , , , , , , , , , , ,包螟 吝瘤,—,包螟 吝瘤,—,包螟 吝瘤,—,包螟 吝瘤,—,2015-03-01,-11老,2015-03-26,-4老,2015-03-30, ,2015-03-16,-4老,2015-03-30,1老,2015-04-06, ,2015-03-19,-3老,2015-04-03,0老,2015-04-09, ,2015-03-19,-7老,2015-04-05,-6老,2015-04-09, ,2015-03-19,-13老,2015-04-13,-5老,2015-04-21, ,2015-03-26,-9老,2015-04-13,-8老,2015-04-17, 
巢盔,2004,2004-04-09,-1老,2004-10-10,3老, , , , ,2004-03-29,-21老, , , , , , ,2004-04-09,0老, , , , , , ,2004-03-15,-17老, , , , , , , , , , ,2004-03-26,3老, , ,2004-03-09,-5老,2004-03-14,-7老, , ,2004-03-22,1老,2004-03-27,-1老, , ,2004-03-27,-1老,2004-03-31,-4老, , ,2004-03-29,-3老,2004-03-31,-6老, , ,2004-04-03,-2老,2004-04-08,-2老, , ,2004-04-07,0老,2004-04-12,-1老, , 
巢盔,2005,2005-04-01,-9老,2005-10-03,-4老, , , , ,2005-04-08,-11老, , , , , , ,2005-04-12,3老, , , , , , ,2005-04-05,4老, , , , , , , , , , ,2005-03-07,-16老, , ,2005-03-22,8老,2005-03-27,6老, , ,2005-04-01,11老,2005-04-06,9老, , ,2005-04-06,9老,2005-04-09,5老, , ,2005-04-08,7老,2005-04-11,5老, , ,2005-04-13,8老,2005-04-16,6老, , ,2005-04-15,8老,2005-04-18,5老, , 
巢盔,2006,2006-04-02,-8老,2006-10-04,-3老, , , , ,2006-04-12,-7老, , , , , , ,2006-04-12,3老, , , , , , ,2006-04-03,2老, , , , , , , , , , ,2006-03-15,-8老, , ,2006-03-20,6老,2006-03-25,4老, , ,2006-03-24,3老,2006-03-28,0老, , ,2006-04-03,6老,2006-04-07,3老, , ,2006-04-04,3老,2006-04-08,2老, , ,2006-04-09,4老,2006-04-11,1老, , ,2006-04-10,3老,2006-04-13,0老, , 
巢盔,2007,2007-03-30,-11老,2007-10-06,-1老, , , , ,2007-04-13,-6老, , , , , , ,2007-04-10,1老, , , , , , ,2007-03-26,-6老, , , , , , ,2007-03-19, , , ,2007-03-19,-4老, , ,2007-03-02,-12老,2007-03-12,-9老, , ,2007-03-19,-2老,2007-03-23,-5老, , ,2007-03-28,0老,2007-04-01,-3老, , ,2007-03-28,-4老,2007-03-31,-6老, , ,2007-04-05,0老,2007-04-08,-2老, , ,2007-04-06,-1老,2007-04-09,-4老, , 
巢盔,2008,2008-03-31,-10老,2008-10-10,3老, , , , ,2008-04-15,-4老, , , , , , ,2008-04-10,1老, , , , , , ,2008-03-30,-2老, , , , , , , , , , ,2008-03-22,-1老, , ,2008-03-15,1老,2008-03-19,-2老, , ,2008-03-22,1老,2008-03-27,-1老, , ,2008-03-28,0老,2008-04-01,-3老, , ,2008-04-01,0老,2008-04-04,-2老, , ,2008-04-05,0老,2008-04-09,-1老, , ,2008-04-08,1老,2008-04-11,-2老, , 
巢盔,2009,2009-04-08,-2老,2009-10-12,5老, , , , ,2009-04-08,-11老, , , , , , ,2009-04-03,-6老, , , , , , ,2009-03-20,-12老, , , , , , ,2009-03-16, , , ,2009-03-16,-7老, , ,2009-02-24,-18老,2009-03-17,-4老, , ,2009-03-17,-4老,2009-03-20,-8老, , ,2009-03-19,-9老,2009-03-27,-8老, , ,2009-03-18,-14老,2009-03-28,-9老, , ,2009-03-20,-16老,2009-04-06,-4老, , ,2009-03-22,-16老,2009-04-07,-6老, , 
巢盔,2010,2010-04-20,10老,2010-09-21,-16老, , , , ,2010-04-15,-4老, , , , , , ,2010-03-30,-10老, , , , , , ,2010-04-05,4老, , , , , , , , , , ,2010-03-22,-1老, , ,2010-03-17,3老,2010-03-25,4老, , ,2010-03-19,-2老,2010-03-25,-3老, , ,2010-03-29,1老,2010-04-04,0老, , ,2010-04-05,4老,2010-04-08,2老, , ,2010-04-08,3老,2010-04-12,2老, , ,2010-04-11,4老,2010-04-16,3老, , 
巢盔,2011,2011-04-23,13老,2011-09-18,-19老, , , , ,2011-04-09,-10老, , , , , , ,2011-04-08,-1老, , , , , , ,2011-03-30,-2老, , , , , , ,2011-04-02, , , ,2011-04-02,10老, , ,2011-03-18,4老,2011-03-30,9老, , ,2011-03-21,0老,2011-04-01,4老, , ,2011-04-08,11老,2011-04-12,8老, , ,2011-04-08,7老,2011-04-12,6老, , ,2011-04-15,10老,2011-04-17,7老, , ,2011-04-16,9老,2011-04-17,4老, , 
巢盔,2012,2012-04-05,-5老,2012-09-24,-13老, , , , ,2012-03-20,-30老, , , , , , ,2012-03-16,-24老, , , , , , ,2012-04-09,8老, , , , , , , , , , ,2012-03-28,5老, , ,2012-03-24,10老,2012-03-30,9老, , ,2012-03-26,5老,2012-04-02,5老, , ,2012-04-09,12老,2012-04-14,10老, , ,2012-04-09,8老,2012-04-12,6老, , ,2012-04-12,7老,2012-04-16,6老, , ,2012-04-13,6老,2012-04-17,4老, , 
巢盔,2013,2013-03-30,-11老,2013-09-21,-16老, , , , ,2013-03-11,-39老, , , , , , ,2013-03-14,-26老, , , , , , ,2013-03-19,-13老, , , , , , ,2013-03-29, , , ,2013-04-03,11老, , ,2013-03-15,1老,2013-03-25,4老, , ,2013-03-19,-2老,2013-03-27,-1老, , ,2013-03-26,-2老,2013-04-02,-2老, , ,2013-03-31,-1老,2013-04-03,-3老, , ,2013-04-08,3老,2013-04-12,2老, , ,2013-04-10,3老,2013-04-13,0老, , 
巢盔,2014,2014-04-05,-5老,2014-09-28,-9老, , , , ,2014-04-18,-1老, , , , , , ,2014-04-03,-6老, , , , , , ,2014-03-28,-4老, , , , , , , , , , ,2014-03-31,8老, , ,2014-03-14,0老,2014-03-19,-2老, , ,2014-03-18,-3老,2014-03-23,-5老, , ,2014-03-22,-6老,2014-03-27,-8老, , ,2014-03-28,-4老,2014-03-30,-7老, , ,2014-03-30,-6老,2014-04-02,-8老, , ,2014-04-01,-6老,2014-04-06,-7老, , 
巢盔,2015, , ,包螟 吝瘤,—, , , , ,包螟 吝瘤,—,包螟 吝瘤,—,包螟 吝瘤,—,包螟 吝瘤,—, , , , , , , , , , , , , , , , ,包螟 吝瘤,—,包螟 吝瘤,—,包螟 吝瘤,—,包螟 吝瘤,—,2015-03-16,2老,2015-03-20,-1老,2015-03-26, ,2015-03-18,-3老,2015-03-22,-6老,2015-03-29, ,2015-03-22,-6老,2015-03-26,-9老,2015-03-31, ,2015-03-30,-2老,2015-04-01,-5老,2015-04-03, ,2015-03-31,-5老,2015-04-03,-7老,2015-04-08, ,2015-04-01,-6老,2015-04-06,-7老,2015-04-10, 
何救,2004,2004-04-16,3老,2004-09-25,2老, , , , ,2004-04-06,-4老, , , , , , ,2004-04-05,-2老, , , , , , ,2004-04-04,4老, , , , , , , , , , ,2004-04-05,-5老, , ,2004-03-17,4老,2004-04-04,3老, , ,2004-03-15,0老,2004-04-03,2老, , ,2004-03-17,-1老,2004-03-25,-7老, , ,2004-03-16,-5老,2004-04-05,-2老, , ,2004-03-15,-8老,2004-04-12,-3老, , ,2004-03-15,-12老,2004-04-23,3老, , 
何救,2005,2005-04-19,6老,2005-09-28,5老, , , , ,2005-04-06,-4老, , , , , , ,2005-04-06,-1老, , , , , , ,2005-03-28,-3老, , , , , , , , , , ,2005-04-07,-3老, , ,2005-03-18,5老,2005-04-05,4老, , ,2005-03-16,1老,2005-04-06,5老, , ,2005-03-19,1老,2005-04-05,4老, , ,2005-03-20,-1老,2005-04-06,-1老, , ,2005-03-20,-3老,2005-04-20,5老, , ,2005-03-24,-3老,2005-04-26,6老, , 
何救,2006,2006-04-18,5老,2006-10-13,20老, , , , ,2006-04-05,-5老, , , , , , ,2006-04-05,-2老, , , , , , ,2006-03-28,-3老, , , , , , ,2006-04-03, , , ,2006-04-03,-7老, , ,2006-03-17,4老,2006-04-05,4老, , ,2006-03-17,2老,2006-04-03,2老, , ,2006-03-20,2老,2006-03-29,-3老, , ,2006-03-17,-4老,2006-04-06,-1老, , ,2006-03-18,-5老,2006-04-17,2老, , ,2006-03-23,-4老,2006-04-24,4老, , 
何救,2007,2007-04-09,-4老,2007-10-09,16老, , , , ,2007-04-05,-5老, , , , , , ,2007-04-05,-2老, , , , , , ,2007-03-21,-10老, , , , , , , , , , ,2007-04-05,-5老, , ,2007-03-02,-11老,2007-03-13,-19老, , ,2007-03-16,1老,2007-03-26,-6老, , ,2007-03-19,1老,2007-03-29,-3老, , ,2007-03-16,-5老,2007-03-30,-8老, , ,2007-03-17,-6老,2007-04-09,-6老, , ,2007-03-23,-4老,2007-04-16,-4老, , 
何救,2008,2008-04-14,1老, , , , , , ,2008-04-04,-6老, , , , , , ,2008-04-04,-3老, , , , , , ,2008-03-25,-6老, , , , , , , , , , ,2008-04-04,-6老, , ,2008-03-10,-3老,2008-03-26,-6老, , ,2008-03-14,-1老,2008-04-07,6老, , ,2008-03-17,-1老,2008-03-28,-4老, , ,2008-03-13,-8老,2008-04-07,0老, , ,2008-03-26,3老,2008-04-14,-1老, , ,2008-03-26,-1老,2008-04-16,-4老, , 
烙角,2004,2004-04-18,-3老,2004-09-24,-4老, , , , ,2004-04-16,-12老, , , , , , ,2004-04-12,-4老, , , , , , ,2004-03-26,-17老, , , , , , , , , , ,2004-05-03, , , ,2004-03-11,-4老,2004-04-02,1老, , ,2004-03-21,-3老,2004-04-01,-2老, , ,2004-03-21,-6老,2004-04-06,-1老, , ,2004-03-29,-2老,2004-04-09,-2老, , ,2004-03-19,-16老,2004-04-03,-11老, , ,2004-03-29,-8老,2004-04-14,-3老, , 
烙角,2005,2005-04-20,-1老,2005-09-28,0老, , , , ,2005-04-22,-6老, , , , , , ,2005-04-08,-8老, , , , , , ,2005-04-13,1老, , , , , , , , , , ,2005-04-29, , , ,2005-03-22,7老,2005-04-09,8老, , ,2005-03-31,7老,2005-04-08,5老, , ,2005-03-30,3老,2005-04-10,3老, , ,2005-04-02,2老,2005-04-12,1老, , ,2005-04-01,-3老,2005-04-15,1老, , ,2005-04-05,-1老,2005-04-20,3老, , 
烙角,2006,2006-04-25,4老,2006-09-25,-3老, , , , ,2006-04-25,-3老, , , , , , ,2006-04-10,-6老, , , , , , ,2006-04-15,3老, , , , , , , , , , ,2006-04-30, , , ,2006-03-22,7老,2006-03-27,-5老, , ,2006-03-25,1老,2006-04-04,1老, , ,2006-03-27,0老,2006-04-07,0老, , ,2006-04-05,5老,2006-04-14,3老, , ,2006-04-03,-1老,2006-04-14,0老, , ,2006-04-05,-1老,2006-04-17,0老, , 
烙角,2007,2007-05-03,12老,2007-09-28,0老, , , , ,2007-05-02,4老, , , , , , ,2007-04-17,1老, , , , , , ,2007-04-19,7老, , , , , , , , , , ,2007-05-02, , , ,2007-02-28,-15老,2007-03-30,-2老, , ,2007-03-21,-3老,2007-03-30,-4老, , ,2007-03-26,-1老,2007-04-11,4老, , ,2007-03-30,-1老,2007-04-08,-3老, , ,2007-04-05,1老,2007-04-16,2老, , ,2007-03-26,-11老,2007-04-16,-1老, , 
烙角,2008,2008-05-07,16老,2008-09-30,2老, , , , ,2008-05-05,7老, , , , , , ,2008-04-20,4老, , , , , , ,2008-04-25,13老, , , , , , , , , , ,2008-05-10, , , ,2008-03-03,-12老,2008-03-27,-5老, , ,2008-03-25,1老,2008-03-29,-5老, , ,2008-03-25,-2老,2008-04-07,0老, , ,2008-03-25,-6老,2008-04-04,-7老, , ,2008-04-02,-2老,2008-04-10,-4老, , ,2008-03-21,-16老,2008-04-11,-6老, , 
厘荐,2004,2004-04-21,1老,2004-09-06,-11老, , , , ,2004-04-19,-2老, , , , , , ,2004-03-17,-16老, , , , , , ,2004-03-12,-21老, , , , , , ,2004-04-05, , , , , , , ,2004-03-15,-2老,2004-03-25,-15老, , ,2004-03-22,-3老,2004-03-31,-6老, , ,2004-03-29,-4老,2004-04-02,-7老, , ,2004-03-28,-6老,2004-04-09,-4老, , ,2004-04-02,-6老,2004-04-12,-4老, , ,2004-04-04,-6老,2004-04-14,-6老, , 
厘荐,2005,2005-04-23,3老,2005-09-07,-10老, , , , ,2005-04-17,-4老, , , , , , ,2005-03-28,-5老, , , , , , ,2005-03-19,-14老, , , , , , ,2005-04-07, , , ,2005-04-07,-12老, , ,2005-03-18,1老,2005-04-03,-6老, , ,2005-03-26,1老,2005-04-08,2老, , ,2005-04-02,0老,2005-04-11,2老, , ,2005-04-03,0老,2005-04-17,4老, , ,2005-04-04,-4老,2005-04-19,3老, , ,2005-04-03,-7老,2005-04-21,1老, , 
厘荐,2006,2006-04-26,6老,2006-09-03,-14老, , , , ,2006-04-15,-6老, , , , , , ,2006-03-24,-9老, , , , , , ,2006-04-03,1老, , , , , , , , , , ,2006-04-10,-9老, , ,2006-03-20,3老,2006-04-05,-4老, , ,2006-03-24,-1老,2006-04-03,-3老, , ,2006-04-03,1老,2006-04-05,-4老, , ,2006-04-05,2老,2006-04-12,-1老, , ,2006-04-06,-2老,2006-04-16,0老, , ,2006-04-06,-4老,2006-04-18,-2老, , 
厘荐,2007,2007-04-23,3老,2007-09-05,-12老, , , , ,2007-04-12,-9老, , , , , , ,2007-03-20,-13老, , , , , , ,2007-03-26,-7老, , , , , , , , , , ,2007-04-15,-4老, , ,2007-03-19,2老,2007-03-27,-13老, , ,2007-03-22,-3老,2007-03-29,-8老, , ,2007-03-31,-2老,2007-04-04,-5老, , ,2007-04-01,-2老,2007-04-08,-5老, , ,2007-04-05,-3老,2007-04-12,-4老, , ,2007-04-04,-6老,2007-04-16,-4老, , 
厘荐,2008,2008-04-20,0老, , , , , , ,2008-04-21,0老, , , , , , ,2008-03-25,-8老, , , , , , ,2008-03-19,-14老, , , , , , ,2008-04-17, , , ,2008-04-17,-2老, , ,2008-03-18,1老,2008-04-01,-8老, , ,2008-03-22,-3老,2008-04-03,-3老, , ,2008-03-30,-3老,2008-04-03,-6老, , ,2008-04-05,2老,2008-04-11,-2老, , ,2008-04-07,-1老,2008-04-14,-2老, , ,2008-04-08,-2老,2008-04-17,-3老, , 
傈林,2004,包螟 救凳,—,包螟 救凳,—, , , , ,2004-05-13,15老, , , , , , ,2004-04-29,13老, , , , , , ,2004-05-20,47老, , , , , , , , , , ,2004-05-28,32老, , ,2004-02-19,-5老,2004-02-24,-18老,搬螟,—,2004-03-12,-1老,2004-03-19,-5老,搬螟,—,2004-03-18,1老,2004-03-24,-5老,搬螟,—,2004-03-27,4老,2004-03-31,-3老,搬螟,—,2004-03-29,5老,2004-04-04,-4老,搬螟,—,2004-03-31,5老,2004-04-06,-3老,搬螟,—
傈林,2005,2005-05-01,13老,2005-09-15,-18老, , , , ,2005-04-30,2老, , , , , , ,2005-04-26,10老, , , , , , ,2005-04-13,10老, , , , , , , , , , ,2005-05-15,19老, , ,2005-02-15,-9老,2005-02-21,-20老,搬螟,—,2005-03-16,3老,2005-04-02,9老,搬螟,—,2005-03-20,3老,2005-04-05,7老,搬螟,—,2005-04-04,12老,2005-04-09,6老,搬螟,—,2005-04-01,8老,2005-04-13,5老,搬螟,—,2005-03-30,4老,2005-04-12,3老,搬螟,—
傈林,2006,2006-04-30,12老,2006-09-25,-8老, , , , ,2006-04-28,0老, , , , , , ,2006-04-21,5老, , , , , , ,2006-04-10,7老, , , , , , , , , , ,2006-04-26,0老, , ,2006-02-01,-23老,2006-03-09,-4老,搬螟,—,2006-03-06,-7老,2006-03-21,-3老,搬螟,—,2006-03-09,-8老,2006-03-25,-4老,搬螟,—,2006-03-25,2老,2006-04-05,2老,搬螟,—,2006-03-24,0老,2006-04-07,-1老,搬螟,—,2006-03-23,-3老,2006-04-08,-1老,搬螟,—
傈林,2007,包螟 救凳,—,包螟 救凳,—, , , , ,包螟 救凳,—, , , , , , ,包螟 救凳,—, , , , , , ,2007-03-26,-8老, , , , , , , , ,包螟 救凳,—,包螟 救凳,—, , ,2007-02-23,-1老,2007-03-01,-12老,搬螟,—,2007-03-08,-5老,2007-03-16,-8老,搬螟,—,2007-03-09,-8老,2007-03-22,-7老,搬螟,—,2007-03-21,-2老,2007-03-27,-7老,搬螟,—,2007-03-16,-8老,2007-04-01,-7老,搬螟,—,2007-03-16,-10老,2007-04-02,-7老,搬螟,—
傈林,2008,2008-04-22,4老,2008-10-03,0老, , , , ,包螟 救凳,—, , , , , , ,包螟 救凳,—, , , , , , ,2008-03-18,-16老, , , , , , , , , , ,2008-04-13,-13老, , ,2008-03-08,13老,2008-03-12,-1老,搬螟,—,2008-03-17,4老,2008-03-23,-1老,搬螟,—,2008-03-18,1老,2008-03-26,-3老,搬螟,—,2008-03-23,0老,2008-04-02,-1老,搬螟,—,2008-03-20,-4老,2008-04-03,-5老,搬螟,—,2008-03-21,-5老,2008-04-08,-1老,搬螟,—
傈林,2009,包螟 救凳,—,包螟 救凳,—, , , , ,包螟 救凳,—, , , , , , ,包螟 救凳,—, , , , , , ,2009-03-29,-5老, , , , , , , , , , ,2009-04-12,-14老, , ,2009-02-28,4老,2009-03-12,-1老,搬螟,—,2009-03-10,-3老,2009-03-20,-4老,搬螟,—,2009-03-11,-6老,2009-03-25,-4老,搬螟,—,2009-03-17,-6老,2009-03-31,-3老,搬螟,—,2009-03-13,-11老,2009-04-07,-1老,搬螟,—,2009-03-15,-11老,2009-04-06,-3老,搬螟,—
傈林,2010,包螟 救凳,—,包螟 救凳,—, , , , ,包螟 救凳,—, , , , , , ,包螟 救凳,—, , , , , , ,2010-04-04,1老, , , , , , ,包螟 救凳,—, , ,包螟 救凳,—, , ,2010-03-16,20老,2010-03-16,3老,搬螟,—,2010-03-12,-1老,2010-03-19,-5老,搬螟,—,2010-03-17,0老,2010-03-30,1老,搬螟,—,2010-03-28,5老,2010-04-05,2老,搬螟,—,2010-03-29,5老,2010-04-10,2老,搬螟,—,2010-03-29,3老,2010-04-11,2老,搬螟,—
傈林,2011,2011-04-26,8老,包螟 救凳,—, , , , ,包螟 救凳,—, , , , , , ,包螟 救凳,—, , , , , , ,2011-03-30,-4老, , , , , , ,包螟 救凳,—, , ,包螟 救凳,—, , ,2011-02-23,-1老,2011-03-14,1老,搬螟,—,2011-03-13,0老,2011-03-27,3老,搬螟,—,2011-03-29,12老,2011-04-09,11老,搬螟,—,2011-04-01,9老,2011-04-10,7老,搬螟,—,2011-04-07,14老,2011-04-14,6老,搬螟,—,2011-04-05,10老,2011-04-14,5老,搬螟,—
傈林,2012,包螟 救凳,—,包螟 救凳,—, , , , ,包螟 救凳,—, , , , , , ,包螟 救凳,—, , , , , , ,2012-03-28,-6老, , , , , , , , , , ,包螟 救凳,—, , ,2012-02-27,3老,2012-03-26,13老,搬螟,—,2012-03-26,13老,2012-03-29,5老,搬螟,—,2012-03-30,13老,2012-04-08,10老,搬螟,—,2012-04-01,9老,2012-04-10,7老,搬螟,—,2012-04-07,14老,2012-04-15,7老,搬螟,—,2012-04-05,10老,2012-04-15,6老,搬螟,—
傈林,2013,包螟 救凳,—,包螟 救凳,—, , , , ,包螟 救凳,—, , , , , , ,包螟 救凳,—, , , , , , ,2013-03-17,-17老, , , , , , ,包螟 救凳,—, , ,包螟 救凳,—, , ,2013-02-28,4老,2013-03-20,7老,搬螟,—,2013-03-11,-2老,2013-03-22,-2老,搬螟,—,2013-03-17,0老,2013-04-01,3老,搬螟,—,2013-03-25,2老,2013-04-03,0老,搬螟,—,2013-03-25,1老,2013-04-12,4老,搬螟,—,2013-03-27,1老,2013-04-07,-2老,搬螟,—
傈林,2014,2014-04-18,0老,包螟 救凳,—, , , , ,2014-05-04,6老, , , , , , ,2014-04-30,14老, , , , , , ,2014-03-26,-8老, , , , , , ,包螟 救凳,—, , ,包螟 救凳,—, , ,2014-02-25,1老,2014-03-17,4老,搬螟,—,2014-03-07,-6老,2014-03-16,-8老,搬螟,—,2014-03-10,-7老,2014-03-26,-3老,搬螟,—,2014-03-22,-1老,2014-03-28,-6老,搬螟,—,2014-03-17,-7老,2014-03-28,-11老,搬螟,—,2014-03-17,-9老,2014-04-01,-8老,搬螟,—
傈林,2015,2015-04-21,3老,包螟 吝瘤,—, , , , ,包螟 吝瘤,—,包螟 吝瘤,—,包螟 吝瘤,—,包螟 吝瘤,—,2015-04-27,11老, , , , , , ,2015-04-11,8老, , , , , , ,包螟 吝瘤,—,包螟 吝瘤,—,包螟 吝瘤,—,包螟 吝瘤,—,2015-02-25,1老,2015-03-17,4老,2015-03-30,10老,2015-03-07,-6老,2015-03-26,2老,2015-04-10,10老,2015-03-19,2老,2015-03-27,-2老,2015-04-02,0老,2015-03-17,-6老,2015-03-30,-4老,2015-04-10,2老,2015-03-07,-17老,2015-04-06,-2老,2015-04-11,1老,2015-03-17,-9老,2015-04-07,-2老,2015-04-11,-1老
傈林,2016,2016-04-21,3老,包螟 吝瘤,—, , , , ,包螟 吝瘤,—,包螟 吝瘤,—,包螟 吝瘤,—,包螟 吝瘤,—,2016-04-27,11老, , , , , , ,2016-04-11,8老, , , , , , ,包螟 吝瘤,—,包螟 吝瘤,—,包螟 吝瘤,—,包螟 吝瘤,—,2016-01-15,-40老,2016-03-07,-6老,2016-03-13,-7老,2016-03-07,-6老,2016-03-20,-4老,2016-03-30,-1老,2016-03-13,-4老,2016-03-25,-4老,2016-04-05,3老,2016-03-13,-10老,2016-03-27,-7老,2016-04-05,-3老,2016-03-07,-17老,2016-04-06,-2老,2016-04-05,-5老,2016-03-23,-3老,2016-04-07,-2老,2016-04-15,3老
傈林,2017, , ,包螟 吝瘤,—, , , , ,包螟 吝瘤,—,包螟 吝瘤,—,包螟 吝瘤,—,包螟 吝瘤,—, , , , , , , , ,2017-03-19,-15老, , , , , , ,包螟 吝瘤,—,包螟 吝瘤,—,包螟 吝瘤,—,包螟 吝瘤,—,2017-02-10,-14老,2017-03-05,-8老,2017-03-10,-10老,2017-03-05,-8老,2017-03-23,-1老,2017-03-28,-3老,2017-03-10,-7老,2017-03-26,-3老,2017-04-01,-1老,2017-03-11,-12老,2017-04-02,-1老,2017-04-05,-3老,2017-03-16,-8老,2017-04-04,-4老,2017-04-08,-2老,2017-03-25,-1老,2017-04-05,-4老,2017-04-10,-2老
傈林,2018,2018-04-09,-9老,包螟 吝瘤,—, , , , ,包螟 吝瘤,—,包螟 吝瘤,—,包螟 吝瘤,—,包螟 吝瘤,—, , , , , , , , ,2018-04-16,13老, , , , , , ,包螟 吝瘤,—,包螟 吝瘤,—,包螟 吝瘤,—,包螟 吝瘤,—,2018-02-19,-5老,2018-03-16,3老,2018-03-19,-1老,2018-03-11,-2老,2018-03-23,-1老,2018-03-27,-4老,2018-03-12,-5老,2018-03-26,-3老,2018-03-31,-2老,2018-03-14,-9老,2018-03-27,-7老,2018-04-01,-7老,2018-03-14,-10老,2018-04-01,-7老,2018-04-04,-6老,2018-03-25,-1老,2018-04-02,-7老,2018-04-06,-6老
傈林,2019, , ,包螟 吝瘤,—, , , , ,包螟 吝瘤,—,包螟 吝瘤,—,包螟 吝瘤,—,包螟 吝瘤,—, , , , , , , , ,2019-04-16,13老, , , , , , ,包螟 吝瘤,—,包螟 吝瘤,—,包螟 吝瘤,—,包螟 吝瘤,—,2019-02-06,-18老,2019-02-25,-16老,2019-03-06,-14老,2019-03-06,-7老,2019-03-20,-4老,2019-03-27,-4老,2019-03-06,-11老,2019-03-27,-2老,2019-03-29,-4老,2019-03-12,-11老,2019-03-29,-5老,2019-04-05,-3老,2019-03-22,-2老,2019-04-06,-2老,2019-04-11,1老,2019-03-22,-4老,2019-04-04,-5老,2019-04-08,-4老
傈林,2020,包螟 救凳,—,包螟 吝瘤,—, , , , ,包螟 吝瘤,—,包螟 吝瘤,—,包螟 吝瘤,—,包螟 吝瘤,—,包螟 救凳,—, , , , , , ,2020-03-06,-28老, , , , , , ,包螟 吝瘤,—,包螟 吝瘤,—,包螟 吝瘤,—,包螟 吝瘤,—,2020-01-28,-27老,2020-02-14,-28老,2020-02-29,-20老,2020-03-05,-8老,2020-03-18,-6老,2020-03-22,-9老,2020-03-03,-14老,2020-03-18,-11老,2020-03-22,-11老,2020-03-09,-14老,2020-03-26,-8老,2020-03-31,-8老,2020-03-15,-9老,2020-03-30,-9老,2020-04-02,-8老,2020-03-16,-10老,2020-03-30,-10老,2020-04-02,-10老
傈林,2021,包螟 救凳,—,包螟 吝瘤,—, , , , ,包螟 吝瘤,—,包螟 吝瘤,—,包螟 吝瘤,—,包螟 吝瘤,—,包螟 救凳,—, , , , , , ,2021-03-19,-15老, , , , , , ,包螟 吝瘤,—,包螟 吝瘤,—,包螟 吝瘤,—,包螟 吝瘤,—,2021-02-05,-19老,2021-02-20,-21老,2021-03-02,-18老,2021-02-27,-14老,2021-03-13,-11老,2021-03-16,-15老,2021-02-24,-21老,2021-03-15,-14老,2021-03-17,-16老,2021-03-08,-15老,2021-03-18,-16老,2021-03-25,-14老,2021-03-15,-9老,2021-03-24,-15老,2021-03-29,-12老,2021-03-15,-11老,2021-03-26,-14老,2021-03-29,-14老
傈林,2022,2022-05-04,16老,包螟 吝瘤,—, , , , ,包螟 吝瘤,—,包螟 吝瘤,—,包螟 吝瘤,—,包螟 吝瘤,—,2022-05-09,23老, , , , , , ,2022-04-09,6老, , , , , , ,包螟 吝瘤,—,包螟 吝瘤,—,包螟 吝瘤,—,包螟 吝瘤,—,2022-02-12,-12老,2022-03-04,-9老,2022-03-14,-6老,2022-03-02,-11老,2022-03-22,-2老,2022-03-28,-3老,2022-02-28,-17老,2022-03-29,0老,2022-03-31,-2老,2022-03-14,-9老,2022-03-30,-4老,2022-04-01,-7老,2022-03-10,-14老,2022-04-05,-3老,2022-04-07,-3老,2022-03-15,-11老,2022-04-06,-3老,2022-04-09,-3老
